Date,RiskOn,Momentum,Signal,Position,Strat_Ret,Strat_Eq
2016-11-30,8224.5,0.03645127752748811,1,1.0,-0.0478698772864089,163.80923395653505
2016-12-31,8185.7998046875,0.0301332944167505,1,1.0,-0.004705476966684885,163.03843337922228
2017-01-31,8561.2998046875,0.13191557215391714,1,1.0,0.04587212110720995,170.51735214032377
2017-02-28,8879.599609375,0.27086536629777824,1,1.0,0.037178911140715254,176.85700162349892
2017-03-31,9173.75,0.18548409435670576,1,1.0,0.03312653763289486,182.7156617434207
2017-04-30,9304.0498046875,0.18525950166673,1,1.0,0.014203548678294098,185.3108725392801
2017-05-31,9621.25,0.1790602915230688,1,1.0,0.03409270177731538,191.62862085285587
2017-06-30,9520.900390625,0.1487919387801273,1,1.0,-0.01042999707678316,189.62993489753262
2017-07-31,10077.099609375,0.1665334964837646,1,1.0,0.058418762504613087,200.70788102807683
2017-08-31,9917.900390625,0.1288042805940468,1,1.0,-0.0157981189946651,197.53707404042817
2017-09-30,9788.599609375,0.13673541458896077,1,1.0,-0.013037112307784704,194.9617610212119
2017-10-31,10335.2998046875,0.19649222096405428,1,1.0,0.055850705629935105,205.85051294510137
2017-11-30,10226.5498046875,0.24342510847923893,1,1.0,-0.010522191136698056,203.68451450230566
2017-12-31,10530.7001953125,0.2864595331640314,1,1.0,0.029741251588643047,209.74234689282935
2018-01-31,11027.7001953125,0.2880871417766018,1,1.0,0.04719534226425215,219.64120874174395
2018-02-28,10492.849609375,0.18168048909511025,1,1.0,-0.04850064623309647,208.98846817835093
2018-03-31,10113.7001953125,0.10246084701594227,1,1.0,-0.0361340749345862,201.43686320873
2018-04-30,10739.349609375,0.15426613515808763,1,1.0,0.06186157410049353,213.89806464868784
2018-05-31,10736.150390625,0.11587895446277763,1,1.0,-0.0002978968807577642,213.83434508242888
2018-06-30,10714.2998046875,0.1253452263020849,1,1.0,-0.0020352347109985347,213.3991420009135
2018-07-31,11356.5,0.12696117337519808,1,1.0,0.05993860607032264,226.18998910905108
